# word|category|difficulty
# Single-word entries only. Difficulties: easy, medium, hard.
מעבר|מקומות|medium
גבול|מקומות|medium
חצר|מקומות|medium
מרפסת|מקומות|medium
גג|מקומות|medium
מרתף|מקומות|medium
עליה|מקומות|medium
קומה|מקומות|medium
תתקרקע|מקומות|hard
מתקן|מקומות|hard
אתר|מקומות|hard
מחצבה|מקומות|hard
מאגרמים|מקומות|hard
תחנתכוח|מקומות|hard
תחנתמחקר|מקומות|hard
מזח|מקומות|hard
מספנה|מקומות|hard
מתחםתעשיה|מקומות|hard
קוים|מקומות|hard
מרכזלוגיסטי|מקומות|hard
מגדלאש|מקומות|hard
נמליבשתי|מקומות|hard
אזורסחר|מקומות|hard
מרחב|מקומות|hard
אזורחיץ|מקומות|hard
שמורתביוספרה|מקומות|hard
תחנתחלל|מקומות|hard

רופא|מקצועות|easy
אחות|מקצועות|easy
מורה|מקצועות|easy
גנן|מקצועות|easy
טבח|מקצועות|easy
מלצר|מקצועות|easy
נהג|מקצועות|easy
שוטר|מקצועות|easy
לוחם|מקצועות|easy
כבאי|מקצועות|easy
ספר|מקצועות|easy
קופאי|מקצועות|easy
מוכר|מקצועות|easy
חקלאי|מקצועות|easy
דייג|מקצועות|easy
מכונאי|מקצועות|easy
חשמלאי|מקצועות|easy
שרברב|מקצועות|easy
צבעי|מקצועות|easy
סבל|מקצועות|easy
מאבטח|מקצועות|easy
נהגמונית|מקצועות|easy
סייע|מקצועות|easy
מנהלת|מקצועות|easy
מדריך|מקצועות|easy
שוער|מקצועות|easy
שליח|מקצועות|easy
דייל|מקצועות|easy
אופה|מקצועות|easy
קצב|מקצועות|easy
חייט|מקצועות|easy
מתווך|מקצועות|easy
מאמן|מקצועות|easy
שחקן|מקצועות|easy
זמר|מקצועות|easy
צלם|מקצועות|easy
עורך|מקצועות|easy
כתב|מקצועות|easy
דובר|מקצועות|easy
מנהל|מקצועות|easy
מהנדס|מקצועות|medium
אדריכל|מקצועות|medium
רואהחשבון|מקצועות|medium
עורךדין|מקצועות|medium
שופט|מקצועות|medium
יועץ|מקצועות|medium
פסיכולוג|מקצועות|medium
פיזיותרפיסט|מקצועות|medium
רוקח|מקצועות|medium
מרפא|מקצועות|medium
וטרינר|מקצועות|medium
מרפאה|מקצועות|medium
מעצב|מקצועות|medium
מנכל|מקצועות|medium
סמנכל|מקצועות|medium
חוסרשקט|רגשות|medium
חוסראונים|רגשות|hard
חסרסבל|תכונות|medium
סקווש|ספורט|easy
קולאז|אמנות|easy
חדווה|רגשות|medium
שלגכבד|מזג אוויר|medium
שלגכבד|מזג אוויר|medium
רכז|מקצועות|medium
מבקר|מקצועות|medium
קניין|מקצועות|medium
כלכלן|מקצועות|medium
סטטיסטיקאי|מקצועות|medium
אנליסט|מקצועות|medium
חוקר|מקצועות|medium
בלש|מקצועות|medium
מהנדסתוכנה|מקצועות|medium
מהנדסחשמל|מקצועות|medium
מהנדסמכונות|מקצועות|medium
מדריךטבע|מקצועות|medium
מורהנהיגה|מקצועות|medium
טכנאי|מקצועות|medium
מפעיל|מקצועות|medium
קצין|מקצועות|medium
מדריכתנועה|מקצועות|medium
סוכן|מקצועות|medium
מפיק|מקצועות|medium
במאי|מקצועות|medium
מגשר|מקצועות|medium
סוציולוג|מקצועות|hard
אנתרופולוג|מקצועות|hard
ארכיאולוג|מקצועות|hard
אוקיאנוגרף|מקצועות|hard
מטאורולוג|מקצועות|hard
אקולוג|מקצועות|hard
ביוכימאי|מקצועות|hard
גנטיקאי|מקצועות|hard
אימונולוג|מקצועות|hard
נוירולוג|מקצועות|hard
נוירוכירורג|מקצועות|hard
אונקולוג|מקצועות|hard
פסיכיאטר|מקצועות|hard
אורולוג|מקצועות|hard
אפידמיולוג|מקצועות|hard
קרימינולוג|מקצועות|hard
אקטואר|מקצועות|hard
אסטרונום|מקצועות|hard
גיאולוג|מקצועות|hard
בלשן|מקצועות|hard

שמחה|רגשות|easy
עצב|רגשות|easy
כעס|רגשות|easy
פחד|רגשות|easy
אהבה|רגשות|easy
שנאה|רגשות|easy
בושה|רגשות|easy
גאווה|רגשות|easy
קנאה|רגשות|easy
מבוכה|רגשות|easy
נחת|רגשות|easy
תסכול|רגשות|easy
רוגע|רגשות|easy
התרגשות|רגשות|easy
געגוע|רגשות|easy
דאגה|רגשות|easy
תקווה|רגשות|easy
אכזבה|רגשות|easy
חרדה|רגשות|easy
שממון|רגשות|easy
בדידות|רגשות|easy
עלבון|רגשות|easy
קורת|רגשות|easy
התלהבות|רגשות|easy
סיפוק|רגשות|easy
הקלה|רגשות|easy
סקרנות|רגשות|easy
רחמים|רגשות|easy
אמון|רגשות|easy
חשד|רגשות|easy
כמיהה|רגשות|medium
נוסטלגיה|רגשות|medium
פירגון|רגשות|medium
קנאות|רגשות|medium
ביטחון|רגשות|medium
חשש|רגשות|medium
הלם|רגשות|medium
תדהמה|רגשות|medium
אדישות|רגשות|medium
בוז|רגשות|medium
רחמים|רגשות|medium
הקפדה|רגשות|medium
הערצה|רגשות|medium
הוקרה|רגשות|medium
כאב|רגשות|medium
צער|רגשות|medium
חדווה|רגשות|medium
שביעות|רגשות|medium
מיאוס|רגשות|medium
דחיה|רגשות|medium
רתיעה|רגשות|medium
משיכה|רגשות|medium
נאמנות|רגשות|medium
חיבה|רגשות|medium
חמלה|רגשות|medium
אומץ|רגשות|medium
פאניקה|רגשות|medium
בלבול|רגשות|medium
התלבטות|רגשות|medium
ריחוק|רגשות|medium
קבלה|רגשות|medium
ניכור|רגשות|medium
חוסרשקט|רגשות|medium
חרטה|רגשות|medium
אשמה|רגשות|medium
כעסנות|רגשות|medium
התמסרות|רגשות|medium
התרסה|רגשות|medium
דריכות|רגשות|medium
קיפאון|רגשות|medium
דכדוך|רגשות|hard
יאוש|רגשות|hard
אופוריה|רגשות|hard
מועקה|רגשות|hard
קדרות|רגשות|hard
מלנכוליה|רגשות|hard
התעלות|רגשות|hard
התפרקות|רגשות|hard
תיעוב|רגשות|hard
תאווה|רגשות|hard
עקשנות|רגשות|hard
חרדתקהל|רגשות|hard
התקשרות|רגשות|hard
נשגבות|רגשות|hard
התמסכנות|רגשות|hard
חוסראונים|רגשות|hard
חמיצות|רגשות|hard
חריפות|רגשות|hard
מרירות|רגשות|hard
תשוקה|רגשות|hard

ללכת|פעולות|easy
לרוץ|פעולות|easy
לקפוץ|פעולות|easy
לשבת|פעולות|easy
לעמוד|פעולות|easy
לשכב|פעולות|easy
לישון|פעולות|easy
לאכול|פעולות|easy
לשתות|פעולות|easy
לקרוא|פעולות|easy
לכתוב|פעולות|easy
לצייר|פעולות|easy
לשיר|פעולות|easy
לנגן|פעולות|easy
לצחוק|פעולות|easy
לבכות|פעולות|easy
לדבר|פעולות|easy
להקשיב|פעולות|easy
להסתכל|פעולות|easy
לראות|פעולות|easy
לגעת|פעולות|easy
להריח|פעולות|easy
לטעום|פעולות|easy
לפתוח|פעולות|easy
לסגור|פעולות|easy
להרים|פעולות|easy
להוריד|פעולות|easy
לזרוק|פעולות|easy
לתפוס|פעולות|easy
לחתוך|פעולות|easy
לבשל|פעולות|easy
לנקות|פעולות|easy
לסדר|פעולות|easy
לשטוף|פעולות|easy
ללבוש|פעולות|easy
לפשוט|פעולות|easy
לספור|פעולות|easy
למדוד|פעולות|easy
לשלם|פעולות|easy
לקנות|פעולות|easy
למכור|פעולות|easy
לעלות|פעולות|easy
לרדת|פעולות|easy
להכנס|פעולות|easy
לצאת|פעולות|easy
להגיע|פעולות|easy
לעזוב|פעולות|easy
להתחיל|פעולות|easy
לסיים|פעולות|easy
להדליק|פעולות|easy
לכבות|פעולות|easy
לנסוע|פעולות|easy
לטוס|פעולות|easy
לשחות|פעולות|easy
לטייל|פעולות|easy
לשחק|פעולות|easy
לנצח|פעולות|easy
להפסיד|פעולות|easy
להסתתר|פעולות|easy
לחפש|פעולות|easy
למצוא|פעולות|easy
לשאול|פעולות|medium
להשיב|פעולות|medium
לגלות|פעולות|medium
להסתבך|פעולות|medium
להתרגש|פעולות|medium
להתלבט|פעולות|medium
להתאמן|פעולות|medium
להתאמץ|פעולות|medium
להתקלח|פעולות|medium
להתאפר|פעולות|medium
להתגלח|פעולות|medium
להתחרט|פעולות|medium
להתחייב|פעולות|medium
להתפטר|פעולות|medium
להתנצל|פעולות|medium
להתרחק|פעולות|medium
להתקרב|פעולות|medium
להתבונן|פעולות|medium
להתמקד|פעולות|medium
להתעלם|פעולות|medium
להתעכב|פעולות|medium
להתעורר|פעולות|medium
להירגע|פעולות|medium
להיחפז|פעולות|medium
להבהיל|פעולות|medium
להבריא|פעולות|medium
להחליט|פעולות|medium
להתמסר|פעולות|medium
להתנגד|פעולות|medium
להסכים|פעולות|medium
להכין|פעולות|medium
להסביר|פעולות|medium
לארגן|פעולות|medium
להתמודד|פעולות|medium
להתאכזב|פעולות|medium
להתרגל|פעולות|medium
להתפרנס|פעולות|medium
להתנשף|פעולות|medium
להתגלות|פעולות|medium
להשתדל|פעולות|medium
להתחמק|פעולות|medium
להתעקש|פעולות|medium
לנתח|פעולות|hard
להעריך|פעולות|hard
להגדיר|פעולות|hard
להסיק|פעולות|hard
להדגים|פעולות|hard
להפריך|פעולות|hard
לפרש|פעולות|hard
לנסח|פעולות|hard
להבהיר|פעולות|hard
להעמיק|פעולות|hard
לרכז|פעולות|hard
לפתח|פעולות|hard
ליישם|פעולות|hard
לשכלל|פעולות|hard
להסתגל|פעולות|hard
להתמיין|פעולות|hard
לנתב|פעולות|hard
למזער|פעולות|hard
לתרגם|פעולות|hard
לסווג|פעולות|hard

יפה|תכונות|easy
מכוער|תכונות|easy
גדול|תכונות|easy
קטן|תכונות|easy
רחב|תכונות|easy
צר|תכונות|easy
ארוך|תכונות|easy
קצר|תכונות|easy
גבוה|תכונות|easy
נמוך|תכונות|easy
כבד|תכונות|easy
קל|תכונות|easy
חזק|תכונות|easy
חלש|תכונות|easy
מהיר|תכונות|easy
איטי|תכונות|easy
חם|תכונות|easy
קר|תכונות|easy
יבש|תכונות|easy
רטוב|תכונות|easy
קשה|תכונות|easy
רך|תכונות|easy
חד|תכונות|easy
קהה|תכונות|easy
נקי|תכונות|easy
מלוכלך|תכונות|easy
שמח|תכונות|easy
עצוב|תכונות|easy
רגוע|תכונות|easy
כועס|תכונות|easy
עייף|תכונות|easy
רעב|תכונות|easy
צמא|תכונות|easy
אמיץ|תכונות|easy
פחדן|תכונות|easy
חכם|תכונות|easy
טיפש|תכונות|easy
אדיב|תכונות|easy
גס|תכונות|easy
נדיב|תכונות|easy
קמצן|תכונות|easy
נאמן|תכונות|easy
בוגד|תכונות|easy
סקרן|תכונות|easy
קשוב|תכונות|easy
עקשן|תכונות|easy
גמיש|תכונות|easy
יציב|תכונות|easy
רופף|תכונות|easy
חלק|תכונות|easy
מחוספס|תכונות|easy
מבריק|תכונות|easy
עמום|תכונות|easy
מתוק|תכונות|easy
מר|תכונות|easy
חמוץ|תכונות|easy
מלוח|תכונות|easy
חריף|תכונות|easy
נעים|תכונות|medium
חביב|תכונות|medium
מקורי|תכונות|medium
ציני|תכונות|medium
שנון|תכונות|medium
קפדן|תכונות|medium
מתון|תכונות|medium
קיצוני|תכונות|medium
יצירתי|תכונות|medium
מעשי|תכונות|medium
תיאורטי|תכונות|medium
ריאלי|תכונות|medium
אופטימי|תכונות|medium
פסימי|תכונות|medium
זהיר|תכונות|medium
נמהר|תכונות|medium
סבלני|תכונות|medium
חסרסבל|תכונות|medium
עקבי|תכונות|medium
מרוכז|תכונות|medium
מפוזר|תכונות|medium
מסודר|תכונות|medium
מבולגן|תכונות|medium
יציב|תכונות|medium
שביר|תכונות|medium
ריאקטיבי|תכונות|medium
עמיד|תכונות|medium
שקוף|תכונות|medium
אטום|תכונות|medium
חלקלק|תכונות|medium
נוקשה|תכונות|medium
גס|תכונות|medium
עדין|תכונות|medium
מנומס|תכונות|medium
תקיף|תכונות|medium
מהוסס|תכונות|medium
בטוח|תכונות|medium
חלול|תכונות|medium
מלא|תכונות|medium
ריק|תכונות|medium
כבדמשקל|תכונות|medium
מעודן|תכונות|hard
אלגנטי|תכונות|hard
מרומם|תכונות|hard
מוחשי|תכונות|hard
מופשט|תכונות|hard
שיטתי|תכונות|hard
דינמי|תכונות|hard
סטטי|תכונות|hard
מתוחכם|תכונות|hard
תובעני|תכונות|hard
מאתגר|תכונות|hard
חדגוני|תכונות|hard
מגוון|תכונות|hard
עקשני|תכונות|hard
נחרץ|תכונות|hard
ספקן|תכונות|hard
דייקן|תכונות|hard
חמקמק|תכונות|hard
נוקב|תכונות|hard
חסר|תכונות|hard

ראש|חלקי גוף|easy
עין|חלקי גוף|easy
אוזן|חלקי גוף|easy
אף|חלקי גוף|easy
פה|חלקי גוף|easy
